province,Item,country,confirmed,deaths,active,date,lat,lon,Población
Mexico,193,Mexico,258990,37359,221631,07/01/2021,19.5,-99.72,8490806
Morelos,194,Mexico,34406,3575,30831,07/01/2021,18.68,-99.1,2065014
Ciudad de Mexico,195,Mexico,683409,34674,648735,07/01/2021,19.43,-99.13,3836506
Colima,196,Mexico,12342,1221,11121,07/01/2021,19.12,-104.01,797245
Puebla,197,Mexico,86325,12271,74054,07/01/2021,19.04,-98.21,6664764
Nayarit,198,Mexico,12704,1873,10831,07/01/2021,21.75,-104.85,1306145
Sinaloa,199,Mexico,42398,6405,35993,07/01/2021,25.17,-107.48,3181609
Aguascalientes,200,Mexico,26770,2469,24301,07/01/2021,21.89,-102.29,1453452
Oaxaca,201,Mexico,48516,3960,44556,07/01/2021,17.07,-96.73,4165619
Campeche,202,Mexico,11689,1306,10383,07/01/2021,19.83,-90.53,1017011
Veracruz,203,Mexico,65108,10139,54969,07/01/2021,19.17,-96.13,1395545
Coahuila,204,Mexico,69604,6414,63190,07/01/2021,27.06,-101.71,9003827
Yucatan,205,Mexico,46549,4205,42344,07/01/2021,20.71,-89.09,8588469
Durango,206,Mexico,34738,2498,32240,07/01/2021,24.56,-104.66,1884622
Baja California Sur,207,Mexico,39272,1529,37743,07/01/2021,26.04,-111.67,821059
Quintana Roo,208,Mexico,32616,3015,29601,07/01/2021,19.18,-88.48,1761389
Baja California,209,Mexico,50697,8728,41969,07/01/2021,30.84,-115.28,3690160
Sonora,210,Mexico,79456,6775,72681,07/01/2021,29.3,-110.33,3111119
Michoacan,211,Mexico,49268,5977,43291,07/01/2021,19.57,-101.71,8490806
San Luis Potosi,212,Mexico,65470,5443,60027,07/01/2021,22.16,-100.99,1761389
Chiapas,213,Mexico,12302,1666,10636,07/01/2021,16.76,-93.13,5812375
Tamaulipas,214,Mexico,65269,5230,60039,07/01/2021,24.27,-98.84,3679623
Queretaro,215,Mexico,69764,4468,65296,07/01/2021,20.59,-100.39,6664764
Guerrero,216,Mexico,41862,4557,37305,07/01/2021,17.44,-99.55,3668973
Nuevo Leon,217,Mexico,127141,9738,117403,07/01/2021,25.59,-100,1306145
Zacatecas,218,Mexico,31100,2836,28264,07/01/2021,22.77,-102.58,1677911
Tlaxcala,219,Mexico,20184,2563,17621,07/01/2021,19.31,-98.24,1395545
Guanajuato,220,Mexico,132987,11114,121873,07/01/2021,21.02,-101.26,6280645
Chihuahua,221,Mexico,57752,7553,50199,07/01/2021,28.63,-106.07,3836506
Hidalgo,222,Mexico,39573,6285,33288,07/01/2021,20.09,-98.76,3121355
Tabasco,223,Mexico,76102,4276,71826,07/01/2021,17.84,-92.62,2599658
Jalisco,224,Mexico,88801,12681,76120,07/01/2021,20.66,-103.35,8490806
Sonora,225,Mexico,79692,6780,72912,07/02/2021,29.3,-110.33,3111119
Sinaloa,226,Mexico,42638,6416,36222,07/02/2021,25.17,-107.48,3181609
Morelos,227,Mexico,34444,3578,30866,07/02/2021,18.68,-99.1,2065014
Queretaro,228,Mexico,69801,4469,65332,07/02/2021,20.59,-100.39,6664764
Chiapas,229,Mexico,12320,1666,10654,07/02/2021,16.76,-93.13,5812375
Baja California Sur,230,Mexico,39658,1536,38122,07/02/2021,26.04,-111.67,821059
Zacatecas,231,Mexico,31116,2835,28281,07/02/2021,22.77,-102.58,1677911
Guerrero,232,Mexico,41925,4560,37365,07/02/2021,17.44,-99.55,3668973
Puebla,233,Mexico,86399,12290,74109,07/02/2021,19.04,-98.21,6664764
Baja California,234,Mexico,50756,8735,42021,07/02/2021,30.84,-115.28,3690160
Campeche,235,Mexico,11810,1308,10502,07/02/2021,19.83,-90.53,1017011
Quintana Roo,236,Mexico,32940,3027,29913,07/02/2021,19.18,-88.48,1761389
Veracruz,237,Mexico,65406,10172,55234,07/02/2021,19.17,-96.13,1395545
Jalisco,238,Mexico,88957,12687,76270,07/02/2021,20.66,-103.35,8490806
Yucatan,239,Mexico,46922,4217,42705,07/02/2021,20.71,-89.09,8588469
Hidalgo,240,Mexico,39617,6286,33331,07/02/2021,20.09,-98.76,3121355
Tamaulipas,241,Mexico,65543,5270,60273,07/02/2021,24.27,-98.84,3679623
Oaxaca,242,Mexico,48620,3963,44657,07/02/2021,17.07,-96.73,4165619
